hora,temperatura
2025-08-19T22:27:00,16.67
2025-08-19T22:27:05,15
2025-08-19T22:27:10,16.12
2025-08-19T22:27:15,17.18
2025-08-19T22:27:20,15
2025-08-19T22:27:25,15
2025-08-19T22:27:30,15.33
2025-08-19T22:27:35,16.3
2025-08-19T22:27:40,17.47
2025-08-19T22:27:45,15
2025-08-19T22:27:50,17.23
2025-08-19T22:27:55,15.47
2025-08-19T22:28:00,15
2025-08-19T22:28:05,17.41
2025-08-19T22:28:10,15.84
2025-08-19T22:28:15,16.26
2025-08-19T22:28:20,15.82
2025-08-19T22:28:25,15
2025-08-19T22:28:30,15.27
2025-08-19T22:28:35,16.67
2025-08-19T22:28:40,16.7
2025-08-19T22:28:45,15
2025-08-19T22:28:50,16.02
2025-08-19T22:28:55,15.94
2025-08-19T22:29:00,17.52
2025-08-19T22:29:05,16.9
2025-08-19T22:29:10,15
2025-08-19T22:29:15,15
2025-08-19T22:29:20,16.94
2025-08-19T22:29:25,16.06
2025-08-19T22:29:30,15.16
2025-08-19T22:29:35,15.0
2025-08-19T22:29:40,15
2025-08-19T22:29:45,15.5
2025-08-19T22:29:50,15
2025-08-19T22:29:55,15.44
2025-08-19T22:30:00,15.35
2025-08-19T22:30:05,16.02
2025-08-19T22:30:10,17.06
2025-08-19T22:30:15,16.41
2025-08-19T22:30:20,15.55
2025-08-19T22:30:25,15.05
2025-08-19T22:30:30,16.69
2025-08-19T22:30:35,15
2025-08-19T22:30:40,15.17
2025-08-19T22:30:45,15.39
2025-08-19T22:30:50,17.01
2025-08-19T22:30:55,16.97
2025-08-19T22:31:00,15.7
2025-08-19T22:31:05,15.11
2025-08-19T22:31:10,15.14
2025-08-19T22:31:15,16.52
2025-08-19T22:31:20,15.16
2025-08-19T22:31:25,15.59
2025-08-19T22:31:30,16.35
2025-08-19T22:31:35,15
2025-08-19T22:31:40,15.82
2025-08-19T22:31:45,17.54
2025-08-19T22:31:50,15.11
2025-08-19T22:31:55,15.55
2025-08-19T22:32:00,16.39
2025-08-19T22:32:05,17.52
2025-08-19T22:32:10,15
2025-08-19T22:32:15,15
2025-08-19T22:32:20,16.3
2025-08-19T22:32:25,17.17
2025-08-19T22:32:30,17.54
2025-08-19T22:32:35,16.88
2025-08-19T22:32:40,15.53
2025-08-19T22:32:45,16.71
2025-08-19T22:32:50,16.13
2025-08-19T22:32:55,15
2025-08-19T22:33:00,15
2025-08-19T22:33:05,17.06
2025-08-19T22:33:10,15.47
2025-08-19T22:33:15,15.31
2025-08-19T22:33:20,15.85
2025-08-19T22:33:25,15
2025-08-19T22:33:30,17.38
2025-08-19T22:33:35,15.59
2025-08-19T22:33:40,15
2025-08-19T22:33:45,17.35
2025-08-19T22:33:50,15.23
2025-08-19T22:33:55,16.69
2025-08-19T22:34:00,15.96
2025-08-19T22:34:05,15
2025-08-19T22:34:10,15.95
2025-08-19T22:34:15,17.13
2025-08-19T22:34:20,16.05
2025-08-19T22:34:25,15.41
2025-08-19T22:34:30,17.13
2025-08-19T22:34:35,15.69
2025-08-19T22:34:40,15
2025-08-19T22:34:45,16.59
2025-08-19T22:34:50,15
2025-08-19T22:34:55,15.78
2025-08-19T22:35:00,16.33
2025-08-19T22:35:05,15.06
2025-08-19T22:35:10,15
2025-08-19T22:35:15,15
2025-08-19T22:35:20,17.02
2025-08-19T22:35:25,16.95
2025-08-19T22:35:30,16.12
2025-08-19T22:35:35,15.61
2025-08-19T22:35:40,15
2025-08-19T22:35:45,17.35
2025-08-19T22:35:50,17.35
2025-08-19T22:35:55,15
2025-08-19T22:36:00,16.74
2025-08-19T22:36:05,15
2025-08-19T22:36:10,16.17
2025-08-19T22:36:15,15.97
2025-08-19T22:36:20,17.09
2025-08-19T22:36:25,15
2025-08-19T22:36:30,15
2025-08-19T22:36:35,15
2025-08-19T22:36:40,16.58
2025-08-19T22:36:45,16.56
2025-08-19T22:36:50,15
2025-08-19T22:36:55,15
2025-08-19T22:37:00,15.57
2025-08-19T22:37:05,15
2025-08-19T22:37:10,15.89
2025-08-19T22:37:15,16.64
2025-08-19T22:37:20,15
2025-08-19T22:37:25,15
2025-08-19T22:37:30,15
2025-08-19T22:37:35,15.76
2025-08-19T22:37:40,17.28
2025-08-19T22:37:45,15.47
2025-08-19T22:37:50,16.24
2025-08-19T22:37:55,16.75
2025-08-19T22:38:00,15
2025-08-19T22:38:05,15
2025-08-19T22:38:10,17.45
2025-08-19T22:38:15,17.09
2025-08-19T22:38:20,16.08
2025-08-19T22:38:25,15
2025-08-19T22:38:30,16.61
2025-08-19T22:38:35,15
2025-08-19T22:38:40,16.91
2025-08-19T22:38:45,15.77
2025-08-19T22:38:50,17.28
2025-08-19T22:38:55,15
2025-08-19T22:39:00,16.73
2025-08-19T22:39:05,15
2025-08-19T22:39:10,15.35
2025-08-19T22:39:15,15.31
2025-08-19T22:39:20,17.2
2025-08-19T22:39:25,17.06
2025-08-19T22:39:30,16.34
2025-08-19T22:39:35,15.89
2025-08-19T22:39:40,16.96
2025-08-19T22:39:45,16.52
2025-08-19T22:39:50,17.08
2025-08-19T22:39:55,16.49
2025-08-19T22:40:00,17.21
2025-08-19T22:40:05,17.08
2025-08-19T22:40:10,15
2025-08-19T22:40:15,17.06
2025-08-19T22:40:20,16.98
2025-08-19T22:40:25,15.23
2025-08-19T22:40:30,15.29
2025-08-19T22:40:35,16.62
2025-08-19T22:40:40,15
